target_shared_id,target_label_en,target_country_count,jurisdiction,product_id,product_name,target_local_labels,registration_use_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:f200d99e7818e14c4cbce7f7,唑醚·精甲霜,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:3cf6e8b2a9c71e779aa072e0,唑醚·精甲霜,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:a4b00d967516e038805d5d59,唑醚·精甲霜,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:f6ae75ca28391e145acc8b32,啶氧菌酯,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:c0e8769bc3a29273f00e127c,嘧·咪·噻虫嗪,根腐病,2,2,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:c4fae7c7cdc06980de6fed3f,嘧菌酯·噻虫胺·种菌唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:57ef845d6b8c1e9b12c9b146,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:dd58868a2a62144329eca091,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:83e84b5bcd8895e6992d9102,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:9600423aa653a87e8f44a90a,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:1556815c188117ac8ad50975,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:7fcd0cbbec565b510cb05188,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:30c32aafed13ae70074217f5,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:edd5d80769a9aeb253d4b9d0,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:9e2e50ca39f137faf5100b08,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:ee0eba1d15dbfb6e7413181e,噁霉灵,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:ab68b90fc4bfddf9d6732ebb,噁霉灵·精甲霜·氰烯酯,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:e30d761f2a7517e09a7f8460,噁霉灵·精甲霜·氰烯酯,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:92cf28ebed1fe985723c0545,噻灵·咯·精甲,根腐病,1,1,official_pair_asserted
